Valid,Rate,Frequency,Percent,Valid Percent,Cumulative Percent
Valid,211.5,1,.0,.0,.0
,231.4,1,.0,.0,.1
,282.9,1,.0,.0,.1
,313.4,1,.0,.0,.1
,313.6,1,.0,.0,.2
,320.4,1,.0,.0,.2
,325.1,1,.0,.0,.2
,342.1,1,.0,.0,.3
,347.1,1,.0,.0,.3
,353.1,1,.0,.0,.3
,354.0,1,.0,.0,.4
,354.3,1,.0,.0,.4
,354.7,1,.0,.0,.4
,354.8,1,.0,.0,.5
,355.0,1,.0,.0,.5
,355.2,1,.0,.0,.5
,355.4,1,.0,.0,.5
,356.3,1,.0,.0,.6
,360.4,1,.0,.0,.6
,361.0,1,.0,.0,.6
,364.1,1,.0,.0,.7
,370.9,1,.0,.0,.7
,371.6,1,.0,.0,.7
,372.1,1,.0,.0,.8
,372.3,1,.0,.0,.8
,381.8,1,.0,.0,.8
,383.0,1,.0,.0,.9
,386.2,1,.0,.0,.9
,387.3,1,.0,.0,.9
,389.0,1,.0,.0,1.0
,391.6,1,.0,.0,1.0
,391.8,1,.0,.0,1.0
,395.6,1,.0,.0,1.1
,402.1,1,.0,.0,1.1
,403.8,1,.0,.0,1.1
,404.0,1,.0,.0,1.2
,404.9,1,.0,.0,1.2
,405.6,1,.0,.0,1.2
,406.9,2,.1,.1,1.3
,408.3,1,.0,.0,1.3
,408.9,1,.0,.0,1.4
,409.4,1,.0,.0,1.4
,410.6,1,.0,.0,1.4
,411.4,1,.0,.0,1.5
,413.4,1,.0,.0,1.5
,414.1,1,.0,.0,1.5
,416.3,1,.0,.0,1.5
,416.6,1,.0,.0,1.6
,416.7,1,.0,.0,1.6
,419.7,1,.0,.0,1.6
,420.3,1,.0,.0,1.7
,420.4,1,.0,.0,1.7
,420.5,1,.0,.0,1.7
,424.2,1,.0,.0,1.8
,424.7,1,.0,.0,1.8
,425.2,1,.0,.0,1.8
,425.3,1,.0,.0,1.9
,427.3,1,.0,.0,1.9
,428.5,1,.0,.0,1.9
,430.1,1,.0,.0,2.0
,430.7,1,.0,.0,2.0
,431.3,1,.0,.0,2.0
,431.4,1,.0,.0,2.1
,434.1,1,.0,.0,2.1
,434.3,1,.0,.0,2.1
,436.6,1,.0,.0,2.2
,436.7,1,.0,.0,2.2
,436.8,1,.0,.0,2.2
,438.1,1,.0,.0,2.3
,438.7,1,.0,.0,2.3
,438.8,1,.0,.0,2.3
,439.7,1,.0,.0,2.4
,441.0,1,.0,.0,2.4
,443.0,1,.0,.0,2.4
,443.1,1,.0,.0,2.5
,443.5,1,.0,.0,2.5
,445.3,1,.0,.0,2.5
,445.9,1,.0,.0,2.5
,446.7,1,.0,.0,2.6
,446.9,2,.1,.1,2.6
,447.2,1,.0,.0,2.7
,447.6,1,.0,.0,2.7
,447.7,1,.0,.0,2.7
,447.8,1,.0,.0,2.8
,449.0,1,.0,.0,2.8
,449.3,1,.0,.0,2.8
,449.5,1,.0,.0,2.9
,450.4,1,.0,.0,2.9
,450.6,1,.0,.0,2.9
,451.1,1,.0,.0,3.0
,451.2,1,.0,.0,3.0
,451.9,1,.0,.0,3.0
