County,CountyCode,AgeGroup,AgeGroupCode,Deaths,Population,CrudeRate,categoricalage
"Autauga County, AL",1001,45-54 years,45-54,72,48775,147.6,1
"Autauga County, AL",1001,55-64 years,55-64,133,36276,366.6,2
"Autauga County, AL",1001,65-74 years,65-74,201,25592,785.4,3
"Autauga County, AL",1001,75-84 years,75-84,232,12973,1788.3,4
"Autauga County, AL",1001,85+ years,85+,279,3590,7771.6,5
"Baldwin County, AL",1003,45-54 years,45-54,190,162409,117.0,1
"Baldwin County, AL",1003,55-64 years,55-64,395,154554,255.6,2
"Baldwin County, AL",1003,65-74 years,65-74,638,117419,543.4,3
"Baldwin County, AL",1003,75-84 years,75-84,1026,60732,1689.4,4
"Baldwin County, AL",1003,85+ years,85+,1390,20738,6702.7,5
"Barbour County, AL",1005,45-54 years,45-54,43,23456,183.3,1
"Barbour County, AL",1005,55-64 years,55-64,100,21323,469.0,2
"Barbour County, AL",1005,65-74 years,65-74,127,14440,879.5,3
"Barbour County, AL",1005,75-84 years,75-84,167,7459,2238.9,4
"Barbour County, AL",1005,85+ years,85+,211,2742,7695.1,5
"Bibb County, AL",1007,45-54 years,45-54,38,20219,187.9,1
"Bibb County, AL",1007,55-64 years,55-64,86,16521,520.5,2
"Bibb County, AL",1007,65-74 years,65-74,93,11016,844.2,3
"Bibb County, AL",1007,75-84 years,75-84,115,5720,2010.5,4
"Bibb County, AL",1007,85+ years,85+,131,1714,7642.9,5
"Blount County, AL",1009,45-54 years,45-54,64,48197,132.8,1
"Blount County, AL",1009,55-64 years,55-64,134,44178,303.3,2
"Blount County, AL",1009,65-74 years,65-74,240,32508,738.3,3
"Blount County, AL",1009,75-84 years,75-84,293,16423,1784.1,4
"Blount County, AL",1009,85+ years,85+,300,5146,5829.8,5
"Bullock County, AL",1011,45-54 years,45-54,20,9524,210.0,1
"Bullock County, AL",1011,55-64 years,55-64,41,8530,480.7,2
"Bullock County, AL",1011,65-74 years,65-74,48,5216,920.2,3
"Bullock County, AL",1011,75-84 years,75-84,56,2751,2035.6,4
"Bullock County, AL",1011,85+ years,85+,79,1164,6786.9,5
"Butler County, AL",1013,45-54 years,45-54,41,16740,244.9,1
"Butler County, AL",1013,55-64 years,55-64,93,17208,540.4,2
"Butler County, AL",1013,65-74 years,65-74,102,11151,914.7,3
"Butler County, AL",1013,75-84 years,75-84,139,6932,2005.2,4
"Butler County, AL",1013,85+ years,85+,198,3124,6338.0,5
"Calhoun County, AL",1015,45-54 years,45-54,222,98184,226.1,1
"Calhoun County, AL",1015,55-64 years,55-64,428,92853,460.9,2
"Calhoun County, AL",1015,65-74 years,65-74,542,59789,906.5,3
"Calhoun County, AL",1015,75-84 years,75-84,728,34303,2122.3,4
"Calhoun County, AL",1015,85+ years,85+,736,11294,6516.7,5
"Chambers County, AL",1017,45-54 years,45-54,60,29718,201.9,1
"Chambers County, AL",1017,55-64 years,55-64,132,28702,459.9,2
"Chambers County, AL",1017,65-74 years,65-74,179,19912,899.0,3
"Chambers County, AL",1017,75-84 years,75-84,238,10923,2178.9,4
"Chambers County, AL",1017,85+ years,85+,283,4702,6018.7,5
"Cherokee County, AL",1019,45-54 years,45-54,55,23420,234.8,1
"Cherokee County, AL",1019,55-64 years,55-64,81,23754,341.0,2
