"","County","CountyCode","Deaths","Population","Crude","ageadjustedrate","PCT_CVD_death","Quintiles"
"1","Harris County, TX",48201,38699,8076948,479.1,"630.6",0.0059,"1"
"2","Orange County, CA",6059,36154,6998460,516.6,"547.9",0.0074,"1"
"3","San Diego County, CA",6073,37237,6908470,539,"546.2",0.0078,"1"
"4","Miami-Dade County, FL",12086,36667,6264119,585.3,"572",0.0093,"1"
"5","King County, WA",53033,20515,4549226,451,"490.2",0.0099,"1"
"6","Santa Clara County, CA",6085,16740,4053742,413,"449.5",0.0102,"1"
"7","Dallas County, TX",48113,25547,4710774,542.3,"655.1",0.0115,"1"
"8","Fairfax County, VA",51059,7710,2554663,301.8,"404",0.0118,"1"
"9","Queens County, NY",36081,34953,5343384,654.1,"658.2",0.0122,"1"
"10","Clark County, NV",32003,24823,4412594,562.5,"659.2",0.0127,"1"
"11","Middlesex County, MA",25017,18022,3746962,481,"475.7",0.0128,"1"
"12","Riverside County, CA",6065,29835,4813463,619.8,"647.6",0.0129,"1"
"13","Kings County, NY",36047,37795,5393160,700.8,"716.4",0.013,"1"
"14","Alameda County, CA",6001,16689,3520671,474,"514.5",0.0135,"1"
"15","Broward County, FL",12011,28631,4577682,625.4,"583.6",0.0137,"1"
"16","Tarrant County, TX",48439,19569,3783486,517.2,"647.9",0.0137,"1"
"17","San Bernardino County, CA",6071,24171,4082139,592.1,"741.3",0.0145,"1"
"18","Hennepin County, MN",27053,10721,2694600,397.9,"406.9",0.0148,"1"
"19","Los Angeles County, CA",6037,123326,21456469,574.8,"611.6",0.0027,"1"
"20","Cook County, IL",17031,76022,11663432,651.8,"661.6",0.0056,"1"
"21","Maricopa County, AZ",4013,43296,8616933,502.5,"520.1",0.0058,"1"
"22","Bexar County, TX",48029,20350,3596985,565.8,"628.7",0.0157,"1"
"23","New York County, NY",36061,21063,3657816,575.8,"546.8",0.0157,"1"
"24","Suffolk County, NY",36103,24064,3863237,622.9,"650.6",0.0161,"1"
"25","Montgomery County, MD",24031,9833,2431325,404.4,"410.6",0.0166,"1"
"26","Palm Beach County, FL",12099,26951,3921511,687.3,"481.5",0.0175,"1"
"27","Collin County, TX",48085,5424,1672772,324.3,"509.8",0.0194,"1"
"28","Hillsborough County, FL",12057,16214,2889124,561.2,"608.9",0.0194,"1"
"29","Orange County, FL",12095,11729,2455170,477.7,"570.1",0.0195,"1"
"30","Oakland County, MI",26125,19823,3176960,624,"650.6",0.0196,"1"
"31","Wayne County, MI",26163,37219,4323136,860.9,"872.5",0.0199,"1"
"32","Gwinnett County, GA",13135,5325,1633373,326,"525",0.02,"1"
"33","DuPage County, IL",17043,10390,2269230,457.9,"509.3",0.0202,"1"
"34","Wake County, NC",37183,7493,1910666,392.2,"522.1",0.0205,"1"
"35","Nassau County, NY",36059,27902,3625585,769.6,"686.5",0.0212,"1"
"36","Mecklenburg County, NC",37119,8138,1905305,427.1,"521.9",0.0224,"1"
"37","Fairfield County, CT",9001,12490,2348102,531.9,"513.5",0.0227,"1"
"38","Pinellas County, FL",12103,19395,2904101,667.8,"541.3",0.023,"1"
"39","Bergen County, NJ",34003,13973,2446173,571.2,"524.7",0.0234,"1"
