STCOU,Areaname,IPE010200D,IPE120200D,HEA010200D,CRM110200D,PIN020200D,EDU635200D,POP060200D,POP110200D,POP150200D,POP160200D,POP220200D,POP250200D,HSG680200D,HSG695200D,HSG700200D,HSD150200D,HSD170200D,SPR010200D,SPR410200D,LND110200D,CLF040200D,BNK010200D,AvgFineParticulateMatterµgm,AvgDailyPrecipitationmm,AvgDayLandSurfaceTemperatureF,AvgDailyMaxAirTemperatureF,AvgDailyMinAirTemperatureF,AvgDailyMaxHeatIndexF,AGE030200D,AGE040200D,b_1996,b_1997,b_1998,b_1999,b_2000,averagesmoke1996to2000,AGE050200D,number2004diabetes,percent2004diabetes,ageadjustedpercent2004diabetes,HSG455200D,HSG460200D,HSG495200D,INC910199D,numberobesityprevalence2004,percentobesity2004,ageadjustedpercentobesity2004,numberleisuretimephysicalinactivityprevalence2004,percentleisuretimephysicalinactivityprevalence2004,ageadjustedpercentleisuretimephysicalinactivityprevalence2004,HHNV1MI,FFRPTH07,FSRPTH07,PH_FRUVEG,PH_SNACKS,PH_SODA,PH_MEAT,PH_FATS,PH_PREPFOOD,HEA070200D
0,UNITED STATES,41990,11.3,38761628,1349339,29847,80.4,79.6,222358309,138053563,143368343,211460626,34658190,35664348,6477348,5009882,4394012,12900103,44314807,6601009,3537438.44,4, , , , , , , ,281424602,282171957, , , , , , ,35.3, , , ,5577734,4212520,119600,21587, , , , , , , , , , , , , , , ,36908539
1000,ALABAMA,34923,14.6,685443,17990,23768,75.3,87.6,2465539,2146504,2300596,3162808,1155930,478375,175576,11268,62586,246466,825773,159486,50744,4.1,1429, , , , , , ,4447382,4451849, , , , , , ,35.8, , , ,238104,8825,85100,18189, , , , , , , , , , , , , , , ,655105
1001,"Autauga, AL",42463,10.5,5394,191,23038,78.7,73.3,24210,21221,22450,35221,7473,3074,669,60,602,2098,6836,1211,595.97,3.6,14,14.64,3.74,76.81,74.65,55.29,92.42,43671,43872,26.9,27,27,26.4,26,26.66,35.1,3368,10,9.9,1930,96,94800,18518,10180,30.2,29.8,10690,31.9,31.8,602,.64213187783441,.682265120199061,172,112,74,74,18,292,5097
1003,"Baldwin, AL",41283,9.7,23329,264,26131,82,88,63708,68848,71567,122366,14444,11320,1281,270,1751,5670,28305,2624,1596.35,3.3,62,13.05,4.09,77.4,76.25,60.78,92.95,140415,141358,25.7,25.9,25.9,26,26.4,25.98,39,9509,8.1,7.2,3382,396,122500,20826,30120,25.7,25.9,31400,26.8,26.1,1707,.746462980644041,1.06472239099615,149,103,71,69,16,281,22456
1005,"Barbour, AL",26612,22.2,4347,30,18828,64.7,32.8,8574,14970,14068,14887,13451,2797,1558,72,424,1983,5423,1689,884.9,4.9,14,13.55,3.41,76,75.71,56.66,92.10,29038,29035,28.9,28.9,28.9,28.5,28.4,28.72,35.8,2117,10.1,9.69999,2810,37,68600,13316,6645,31.7,31.6,7168,34.2999,34.1,726,.67258541834813,.369921980091472,160,117,89,69,18,297,4174
1007,"Bibb, AL",31776,17.8,3129,0,17725,63.2,33.4,3785,10745,10081,15966,4624,1470,372,21,311,939,3827,905,623.03,4.7,10,15.06,3.86,74.74,74.04,54.62,92.43,19889,19936,29.9,30.1,30.1,30.1,29.6,29.96,34.7,1406,8.9,9,938,37,74600,14105,4605,29.3,29.2,4428,28.4,28.4,596,.372352804282057,.372352804282057,172,112,74,74,18,292,2977
1009,"Blount, AL",36863,12,5730,87,19987,70.4,79,4695,25476,25548,48512,606,3190,52,271,677,1514,8741,1156,645.59,3.1,11,14.87,3.5,74.53,71.64,53.4,90.95,51022,51181,29.3,29.4,29.4,30.4,30.2,29.74,36.4,3367,8.3000000000000007,8,170,287,86800,16325,10330,25.5,25.4,12010,29.8,29.5,844,.474800407976647,.246192804136039,172,112,74,74,18,292,5510
1011,"Bullock, AL",21400,28.6,1973,0,15412,60.5,18.7,4499,6140,5574,2958,8564,1017,800,53,192,1124,2349,959,625.01,7.6,3,13.9,3.46,75.68,75.17,55.65,92.08,11626,11604,27.9,28,28.1,28.7,28.4,28.22,35,941,11.5,11.5,2060,19,56600,10163,2883,35.1,35.1,2873,35.2000,35.1,473,.273572861572132,.182381907714755,172,112,74,74,18,292,1853
1013,"Butler, AL",25763,20.7,4036,1,18943,67.8,27.5,5287,10019,11380,12492,8732,1995,1071,13,335,1528,4898,1315,776.87,6.9,9,13.69,4.04,75.94,75.26,56.24,92.27,21399,21313,27.3,27.5,27.6,28.1,28.4,27.78,37.7,1691,11.3,10.1,2047,42,57700,15715,4503,30,30.3,4834,32.4,31.6,541,.740996887813071,.839796472854814,172,112,74,74,18,292,3902
1015,"Calhoun, AL",32604,15.1,20699,682,21396,73.9,184.6,77606,53702,58547,88537,20810,12451,3774,289,1598,6055,24228,4411,608.46,4.5,31,14.82,3.22,74.44,72.04,53.33,90.86,112243,111342,28.4,28.6,28.7,28.5,28.1,28.46,37.2,8188,9.8000000000000007,9.19999,4114,213,71600,17367,23960,28.8,28.7,25820,31.2,30.7,1281,.886461953052975,.673711084320261,172,112,74,74,18,292,19587
1017,"Chambers, AL",30505,15.4,6913,150,19967,64.2,61.3,18418,17285,19298,22271,13943,3528,1663,44,631,2523,7954,1421,597.17,3.9,12,14.75,3.48,74.45,73.02,54.69,90.81,36614,36593,28.4,28.6,28.6,28.4,29.1,28.62,37.7,3048,11.6,10.5,3268,55,58900,15147,7980,30.4,30.5,8428,32.2999,31.6,828,.662232587601854,.46068353920129,216,110,57,113,16,294,6679
