County,CountyCode,Deaths,Population,Crude,ageadjustedrate
"Autauga County, AL",1001,917,127206,720.9,873.7
"Baldwin County, AL",1003,3639,515852,705.4,727.9
"Barbour County, AL",1005,648,69420,933.4,985.6
"Bibb County, AL",1007,463,55190,838.9,961.9
"Blount County, AL",1009,1031,146452,704,756.3
"Bullock County, AL",1011,244,27185,897.6,940.0
"Butler County, AL",1013,573,55155,1038.9,943.5
"Calhoun County, AL",1015,2656,296423,896,937.8
"Chambers County, AL",1017,892,93957,949.4,911.9
"Cherokee County, AL",1019,553,76994,718.2,777.9
"Chilton County, AL",1021,925,106930,865.1,949.4
"Choctaw County, AL",1023,385,39962,963.4,943.0
"Clarke County, AL",1025,556,68007,817.6,816.9
"Clay County, AL",1027,421,38351,1097.8,1066.0
"Cleburne County, AL",1029,341,40082,850.8,879.5
"Coffee County, AL",1031,978,123746,790.3,812.4
"Colbert County, AL",1033,1356,150462,901.2,875.6
"Conecuh County, AL",1035,345,37732,914.3,882.2
"Coosa County, AL",1037,226,33556,673.5,742.8
"Covington County, AL",1039,985,106767,922.6,847.3
"Crenshaw County, AL",1041,315,37767,834.1,822.5
"Cullman County, AL",1043,1878,212705,882.9,942.8
"Dale County, AL",1045,912,119315,764.4,830.5
"Dallas County, AL",1047,1108,108120,1024.8,1076.6
"DeKalb County, AL",1049,1522,172766,881,954.0
"Elmore County, AL",1051,1341,190487,704,837.6
"Escambia County, AL",1053,861,96912,888.4,933.7
"Etowah County, AL",1055,2647,275067,962.3,972.3
"Fayette County, AL",1057,434,48257,899.4,898.7
"Franklin County, AL",1059,820,77425,1059.1,1093.7
"Geneva County, AL",1061,673,74752,900.3,895.2
"Greene County, AL",1063,252,24976,1009,989.3
"Hale County, AL",1065,391,41755,936.4,933.2
"Henry County, AL",1067,437,49584,881.3,844.6
"Houston County, AL",1069,2039,257464,792,820.5
"Jackson County, AL",1071,1280,146332,874.7,931.9
"Jefferson County, AL",1073,11971,1587568,754,755.7
"Lamar County, AL",1075,371,41568,892.5,865.3
"Lauderdale County, AL",1077,1832,247802,739.3,716.7
"Lawrence County, AL",1079,785,90906,863.5,1014.4
"Lee County, AL",1081,1544,273896,563.7,697.0
"Limestone County, AL",1083,1395,209970,664.4,805.4
"Lowndes County, AL",1085,264,29373,898.8,972.3
"Macon County, AL",1087,509,51341,991.4,966.3
"Madison County, AL",1089,4829,827642,583.5,668.5
"Marengo County, AL",1091,582,55364,1051.2,984.5
"Marion County, AL",1093,799,86897,919.5,897.5
"Marshall County, AL",1095,2058,232755,884.2,926.1
"Mobile County, AL",1097,7734,992530,779.2,838.7
"Monroe County, AL",1099,544,60614,897.5,889.8
"Montgomery County, AL",1101,3603,510921,705.2,738.8
"Morgan County, AL",1103,2497,304542,819.9,892.1
"Perry County, AL",1105,271,25900,1046.3,962.6
"Pickens County, AL",1107,485,54885,883.7,880.3
"Pike County, AL",1109,592,71016,833.6,846.0
"Randolph County, AL",1111,576,62929,915.3,905.9
"Russell County, AL",1113,894,126937,704.3,762.3
"St. Clair County, AL",1115,1458,210801,691.6,821.4
"Shelby County, AL",1117,2193,461395,475.3,602.7
"Sumter County, AL",1119,315,34232,920.2,858.2
"Talladega County, AL",1121,1726,210683,819.2,886.2
"Tallapoosa County, AL",1123,963,117428,820.1,833.4
"Tuscaloosa County, AL",1125,2877,402206,715.3,774.0
"Walker County, AL",1127,1684,181132,929.7,987.7
"Washington County, AL",1129,435,45610,953.7,1042.1
"Wilcox County, AL",1131,348,29903,1163.8,1157.8
"Winston County, AL",1133,532,69983,760.2,795.8
"Aleutians East Borough, AK",2013,11,8413,130.8,(Unreliable)
"Aleutians West Census Area, AK",2016,17,13721,123.9,(Unreliable)
"Anchorage Borough, AK",2020,2051,600206,341.7,511.2
"Bethel Census Area, AK",2050,121,28948,418,760.4
"Bristol Bay Borough, AK",2060,11,2689,409.1,(Unreliable)
"Denali Borough, AK",2068,12,5082,236.1,(Unreliable)
"Dillingham Census Area, AK",2070,39,9898,394,678.6
"Fairbanks North Star Borough, AK",2090,648,184146,351.9,567.9
"Haines Borough, AK",2100,39,8120,480.3,640.9
"Juneau Borough, AK",2110,254,76787,330.8,511.9
"Kenai Peninsula Borough, AK",2122,595,150219,396.1,551.7
"Ketchikan Gateway Borough, AK",2130,150,34203,438.6,588.9
"Kodiak Island Borough, AK",2150,94,28171,333.7,562.3
"Lake and Peninsula Borough, AK",2164,20,3435,582.2,820.0
"Matanuska-Susitna Borough, AK",2170,626,201635,310.5,501.6
"Nome Census Area, AK",2180,100,16903,591.6,928.2
"North Slope Borough, AK",2185,41,21087,194.4,525.2
"Northwest Arctic Borough, AK",2188,56,12521,447.2,659.2
"Prince of Wales-Hyder Census Area, AK",2198,13,2812,462.3,(Unreliable)
"Prince of Wales-Outer Ketchikan Census Area, AK",2201,50,13185,379.2,618.2
"Sitka Borough, AK",2220,97,22220,436.5,513.1
"Skagway-Hoonah-Angoon Census Area, AK",2232,18,7639,235.6,(Unreliable)
"Southeast Fairbanks Census Area, AK",2240,79,16785,470.7,720.2
"Valdez-Cordova Census Area, AK",2261,85,24559,346.1,653.0
"Wade Hampton Census Area, AK",2270,56,10553,530.7,897.0
"Wrangell City and Borough, AK",2275,12,1241,967,(Unreliable)
"Wrangell-Petersburg Census Area, AK",2280,83,14018,592.1,793.6
"Yukon-Koyukuk Census Area, AK",2290,70,13784,507.8,602.9
"Apache County, AZ",4001,648,158124,409.8,477.5
"Cochise County, AZ",4003,2305,346770,664.7,648.5
"Coconino County, AZ",4005,1008,274442,367.3,493.5
"Gila County, AZ",4007,1188,172550,688.5,639.2
"Graham County, AZ",4009,442,74891,590.2,644.8
"Greenlee County, AZ",4011,86,19413,443,502.6
"La Paz County, AZ",4012,503,73999,679.7,596.4
"Maricopa County, AZ",4013,43296,8616933,502.5,520.1
"Mohave County, AZ",4015,5395,654494,824.3,779.7
"Navajo County, AZ",4017,1240,254528,487.2,553.1
"Pima County, AZ",4019,14750,2475538,595.8,550.7
"Pinal County, AZ",4021,3845,890545,431.8,482.4
"Santa Cruz County, AZ",4023,463,111404,415.6,452.2
"Yavapai County, AZ",4025,4346,722407,601.6,528.4
"Yuma County, AZ",4027,2312,445303,519.2,480.4
"Arkansas County, AR",5001,461,51024,903.5,870.3
"Ashley County, AR",5003,477,57399,831,844.2
"Baxter County, AR",5005,1245,142137,875.9,703.9
"Benton County, AR",5007,2975,489562,607.7,630.5
"Boone County, AR",5009,898,102040,880,800.8
"Bradley County, AR",5011,364,30274,1202.4,1093.9
"Calhoun County, AR",5013,116,15629,742.2,729.5
"Carroll County, AR",5015,528,80994,651.9,652.3
"Chicot County, AR",5017,384,32272,1189.9,1050.1
"Clark County, AR",5019,498,52525,948.1,867.0
"Clay County, AR",5021,524,45446,1153,1028.2
"Cleburne County, AR",5023,712,81966,868.7,758.1
"Cleveland County, AR",5025,221,23142,955,992.4
"Columbia County, AR",5027,610,59337,1028,893.6
"Conway County, AR",5029,450,57423,783.7,743.4
"Craighead County, AR",5031,1629,210481,773.9,794.2
"Crawford County, AR",5033,1082,151583,713.8,801.6
"Crittenden County, AR",5035,843,110743,761.2,867.4
"Cross County, AR",5037,368,46064,798.9,781.2
"Dallas County, AR",5039,233,22856,1019.4,933.8
"Desha County, AR",5041,380,33145,1146.5,1171.1
"Drew County, AR",5043,324,45486,712.3,699.8
"Faulkner County, AR",5045,1335,230995,577.9,666.0
