,Areaname,educationHighSchoolOrAboveRate,educationQuintile,Quintile1,Quintile2,Quintile3,Quintile4,Quintile5
1,"Abbeville, SC",70.1,2,0,1,0,0,0
2,"Accomack, VA",67.9,1,1,0,0,0,0
3,"Ada, ID",90.8,5,0,0,0,0,1
4,"Adair, IA",87.8,5,0,0,0,0,1
5,"Adair, KY",60.1,1,1,0,0,0,0
6,"Adair, MO",84.6,4,0,0,0,1,0
7,"Adair, OK",66.7,1,1,0,0,0,0
8,"Adams, CO",78.8,3,0,0,1,0,0
9,"Adams, IA",84.5,4,0,0,0,1,0
10,"Adams, ID",80.8,3,0,0,1,0,0
11,"Adams, IL",83.7,4,0,0,0,1,0
12,"Adams, IN",80,3,0,0,1,0,0
13,"Adams, MS",73.4,2,0,1,0,0,0
14,"Adams, ND",83.1,4,0,0,0,1,0
15,"Adams, NE",86.3,5,0,0,0,0,1
16,"Adams, OH",68.6,1,1,0,0,0,0
17,"Adams, PA",79.7,3,0,0,1,0,0
18,"Adams, WA",63.3,1,1,0,0,0,0
19,"Adams, WI",76.7,2,0,1,0,0,0
20,"Addison, VT",86.4,5,0,0,0,0,1
21,"Aiken, SC",77.7,3,0,0,1,0,0
22,"Aitkin, MN",80.4,3,0,0,1,0,0
23,"Alachua, FL",88.1,5,0,0,0,0,1
24,"Alamance, NC",76.5,2,0,1,0,0,0
25,"Alameda, CA",82.4,4,0,0,0,1,0
26,"Alamosa, CO",82.6,4,0,0,0,1,0
27,"Albany, NY",86.3,5,0,0,0,0,1
28,"Albany, WY",93.5,5,0,0,0,0,1
29,"Albemarle, VA",87.4,5,0,0,0,0,1
30,"Alcona, MI",79.7,3,0,0,1,0,0
31,"Alcorn, MS",68.1,1,1,0,0,0,0
32,"Alexander, IL",67,1,1,0,0,0,0
33,"Alexander, NC",68.7,1,1,0,0,0,0
34,"Alfalfa, OK",81.4,4,0,0,0,1,0
35,"Alger, MI",81.5,4,0,0,0,1,0
36,"Allamakee, IA",81.4,4,0,0,0,1,0
37,"Allegan, MI",82.3,4,0,0,0,1,0
38,"Allegany, MD",79.9,3,0,0,1,0,0
39,"Allegany, NY",83.2,4,0,0,0,1,0
40,"Alleghany, NC",68,1,1,0,0,0,0
41,"Alleghany, VA",77.5,3,0,0,1,0,0
42,"Allegheny, PA",86.3,5,0,0,0,0,1
43,"Allen, IN",85.7,5,0,0,0,0,1
44,"Allen, KS",83.1,4,0,0,0,1,0
45,"Allen, KY",64.5,1,1,0,0,0,0
46,"Allen, OH",82.5,4,0,0,0,1,0
47,"Allendale, SC",60,1,1,0,0,0,0
48,"Alpena, MI",83.1,4,0,0,0,1,0
49,"Alpine, CA",88.3,5,0,0,0,0,1
50,"Amador, CA",84,4,0,0,0,1,0
51,"Amelia, VA",68.3,1,1,0,0,0,0
52,"Amherst, VA",70.6,2,0,1,0,0,0
53,"Amite, MS",67.2,1,1,0,0,0,0
54,"Anderson, KS",81.9,4,0,0,0,1,0
55,"Anderson, KY",80.4,3,0,0,1,0,0
56,"Anderson, SC",73.4,2,0,1,0,0,0
57,"Anderson, TN",78.9,3,0,0,1,0,0
58,"Anderson, TX",64.4,1,1,0,0,0,0
59,"Andrew, MO",84.7,4,0,0,0,1,0
60,"Andrews, TX",68,1,1,0,0,0,0
61,"Androscoggin, ME",79.8,3,0,0,1,0,0
62,"Angelina, TX",71.2,2,0,1,0,0,0
63,"Anne Arundel, MD",86.4,5,0,0,0,0,1
64,"Anoka, MN",91,5,0,0,0,0,1
65,"Anson, NC",70.2,2,0,1,0,0,0
66,"Antelope, NE",85.5,5,0,0,0,0,1
67,"Antrim, MI",84.6,4,0,0,0,1,0
68,"Apache, AZ",63.6,1,1,0,0,0,0
69,"Appanoose, IA",81.4,4,0,0,0,1,0
70,"Appling, GA",67.3,1,1,0,0,0,0
71,"Appomattox, VA",70.7,2,0,1,0,0,0
72,"Aransas, TX",74.6,2,0,1,0,0,0
73,"Arapahoe, CO",90.7,5,0,0,0,0,1
74,"Archer, TX",81.1,3,0,0,1,0,0
75,"Archuleta, CO",87.3,5,0,0,0,0,1
76,"Arenac, MI",76.8,3,0,0,1,0,0
77,"Arkansas, AR",72.4,2,0,1,0,0,0
78,"Arlington, VA",87.8,5,0,0,0,0,1
79,"Armstrong, PA",80,3,0,0,1,0,0
80,"Armstrong, TX",82.4,4,0,0,0,1,0
81,"Aroostook, ME",76.9,3,0,0,1,0,0
82,"Ashe, NC",68.6,1,1,0,0,0,0
83,"Ashland, OH",83.3,4,0,0,0,1,0
84,"Ashland, WI",84.1,4,0,0,0,1,0
85,"Ashley, AR",72.5,2,0,1,0,0,0
86,"Ashtabula, OH",79.9,3,0,0,1,0,0
87,"Asotin, WA",85.8,5,0,0,0,0,1
88,"Atascosa, TX",65.2,1,1,0,0,0,0
89,"Atchison, KS",84.7,4,0,0,0,1,0
90,"Atchison, MO",80,3,0,0,1,0,0
91,"Athens, OH",82.9,4,0,0,0,1,0
92,"Atkinson, GA",56.3,1,1,0,0,0,0
93,"Atlantic, NJ",78.2,3,0,0,1,0,0
94,"Atoka, OK",69.4,1,1,0,0,0,0
95,"Attala, MS",63.4,1,1,0,0,0,0
96,"Audrain, MO",75.1,2,0,1,0,0,0
97,"Audubon, IA",82.5,4,0,0,0,1,0
98,"Auglaize, OH",85.7,5,0,0,0,0,1
99,"Augusta, VA",78.2,3,0,0,1,0,0
100,"Aurora, SD",79.5,3,0,0,1,0,0
101,"Austin, TX",74.5,2,0,1,0,0,0
102,"Autauga, AL",78.7,3,0,0,1,0,0
103,"Avery, NC",70.6,2,0,1,0,0,0
104,"Baca, CO",78.5,3,0,0,1,0,0
105,"Bacon, GA",67.7,1,1,0,0,0,0
106,"Bailey, TX",61.5,1,1,0,0,0,0
107,"Baker, FL",71.9,2,0,1,0,0,0
108,"Baker, GA",66,1,1,0,0,0,0
109,"Baker, OR",80.3,3,0,0,1,0,0
110,"Baldwin, AL",82,4,0,0,0,1,0
111,"Baldwin, GA",72.6,2,0,1,0,0,0
112,"Ballard, KY",76.3,2,0,1,0,0,0
113,"Baltimore city, MD",68.4,1,1,0,0,0,0
114,"Baltimore, MD",84.3,4,0,0,0,1,0
115,"Bamberg, SC",64.7,1,1,0,0,0,0
116,"Bandera, TX",84.8,4,0,0,0,1,0
117,"Banks, GA",65.4,1,1,0,0,0,0
118,"Bannock, ID",87.5,5,0,0,0,0,1
119,"Baraga, MI",80.6,3,0,0,1,0,0
120,"Barber, KS",85.8,5,0,0,0,0,1
121,"Barbour, AL",64.7,1,1,0,0,0,0
122,"Barbour, WV",72.7,2,0,1,0,0,0
123,"Barnes, ND",85,5,0,0,0,0,1
124,"Barnstable, MA",91.8,5,0,0,0,0,1
125,"Barnwell, SC",67.5,1,1,0,0,0,0
126,"Barren, KY",69.5,1,1,0,0,0,0
127,"Barron, WI",82.4,4,0,0,0,1,0
128,"Barrow, GA",73.3,2,0,1,0,0,0
129,"Barry, MI",86.8,5,0,0,0,0,1
130,"Barry, MO",75.7,2,0,1,0,0,0
131,"Bartholomew, IN",83.8,4,0,0,0,1,0
132,"Barton, KS",82.3,4,0,0,0,1,0
133,"Barton, MO",77.3,3,0,0,1,0,0
134,"Bartow, GA",71.8,2,0,1,0,0,0
135,"Bastrop, TX",76.9,3,0,0,1,0,0
136,"Bates, MO",76.9,3,0,0,1,0,0
137,"Bath, KY",59,1,1,0,0,0,0
138,"Bath, VA",74,2,0,1,0,0,0
139,"Baxter, AR",77.5,3,0,0,1,0,0
140,"Bay, FL",81,3,0,0,1,0,0
141,"Bay, MI",82.4,4,0,0,0,1,0
142,"Bayfield, WI",86.9,5,0,0,0,0,1
143,"Baylor, TX",70.1,2,0,1,0,0,0
144,"Beadle, SD",83,4,0,0,0,1,0
145,"Bear Lake, ID",85.5,5,0,0,0,0,1
146,"Beaufort, NC",75,2,0,1,0,0,0
147,"Beaufort, SC",87.8,5,0,0,0,0,1
148,"Beaver, OK",81.2,4,0,0,0,1,0
149,"Beaver, PA",83.6,4,0,0,0,1,0
150,"Beaver, UT",83.2,4,0,0,0,1,0
151,"Beaverhead, MT",89.3,5,0,0,0,0,1
152,"Becker, MN",82.9,4,0,0,0,1,0
153,"Beckham, OK",75.9,2,0,1,0,0,0
154,"Bedford, PA",78.3,3,0,0,1,0,0
155,"Bedford, TN",69.7,1,1,0,0,0,0
156,"Bedford, VA",80.1,3,0,0,1,0,0
157,"Bee, TX",73.7,2,0,1,0,0,0
158,"Belknap, NH",85.7,5,0,0,0,0,1
159,"Bell, KY",56.6,1,1,0,0,0,0
160,"Bell, TX",84.7,4,0,0,0,1,0
161,"Belmont, OH",80.9,3,0,0,1,0,0
162,"Beltrami, MN",83.4,4,0,0,0,1,0
163,"Ben Hill, GA",65.8,1,1,0,0,0,0
164,"Benewah, ID",79.8,3,0,0,1,0,0
165,"Bennett, SD",71.3,2,0,1,0,0,0
166,"Bennington, VT",84.9,4,0,0,0,1,0
167,"Benson, ND",73.8,2,0,1,0,0,0
168,"Bent, CO",77.2,3,0,0,1,0,0
169,"Benton, AR",80.4,3,0,0,1,0,0
170,"Benton, IA",87.8,5,0,0,0,0,1
171,"Benton, IN",86.3,5,0,0,0,0,1
172,"Benton, MN",84.9,4,0,0,0,1,0
173,"Benton, MO",71.8,2,0,1,0,0,0
174,"Benton, MS",58.8,1,1,0,0,0,0
175,"Benton, OR",93.1,5,0,0,0,0,1
176,"Benton, TN",65.8,1,1,0,0,0,0
177,"Benton, WA",85.1,5,0,0,0,0,1
178,"Benzie, MI",85.4,5,0,0,0,0,1
179,"Bergen, NJ",86.6,5,0,0,0,0,1
180,"Berkeley, SC",80.2,3,0,0,1,0,0
181,"Berkeley, WV",77.6,3,0,0,1,0,0
182,"Berks, PA",78,3,0,0,1,0,0
183,"Berkshire, MA",85.1,5,0,0,0,0,1
184,"Bernalillo, NM",84.4,4,0,0,0,1,0
185,"Berrien, GA",66,1,1,0,0,0,0
186,"Berrien, MI",81.9,4,0,0,0,1,0
187,"Bertie, NC",63.8,1,1,0,0,0,0
188,"Bexar, TX",76.9,3,0,0,1,0,0
189,"Bibb, AL",63.2,1,1,0,0,0,0
190,"Bibb, GA",77.2,3,0,0,1,0,0
191,"Big Horn, MT",76.4,2,0,1,0,0,0
192,"Big Horn, WY",83.2,4,0,0,0,1,0
193,"Big Stone, MN",79,3,0,0,1,0,0
194,"Billings, ND",77.8,3,0,0,1,0,0
195,"Bingham, ID",80.6,3,0,0,1,0,0
196,"Black Hawk, IA",86.5,5,0,0,0,0,1
197,"Blackford, IN",81.3,4,0,0,0,1,0
198,"Bladen, NC",70.6,2,0,1,0,0,0
199,"Blaine, ID",90.2,5,0,0,0,0,1
200,"Blaine, MT",78.7,3,0,0,1,0,0
201,"Blaine, OK",75.5,2,0,1,0,0,0
202,"Blair, PA",83.8,4,0,0,0,1,0
203,"Blanco, TX",80.6,3,0,0,1,0,0
204,"Bland, VA",70.9,2,0,1,0,0,0
205,"Bleckley, GA",71.7,2,0,1,0,0,0
206,"Bledsoe, TN",66,1,1,0,0,0,0
207,"Blount, AL",70.4,2,0,1,0,0,0
208,"Blount, TN",78.4,3,0,0,1,0,0
209,"Blue Earth, MN",87.7,5,0,0,0,0,1
210,"Boise, ID",86.3,5,0,0,0,0,1
211,"Bolivar, MS",65.3,1,1,0,0,0,0
212,"Bollinger, MO",70.7,2,0,1,0,0,0
213,"Bon Homme, SD",79,3,0,0,1,0,0
214,"Bond, IL",72.8,2,0,1,0,0,0
215,"Bonner, ID",85.6,5,0,0,0,0,1
216,"Bonneville, ID",87.8,5,0,0,0,0,1
